session_id,point_index,world_x,world_y,expected_pixel_x,expected_pixel_y,matched_pixel_x,matched_pixel_y,raw_pip_center_x,raw_pip_center_y,die_center_x,die_center_y,value,color,pixel_match_distance,detection_json,capture_dir,notes
20260508_202309,1,173.48,-37.929,211.365,197.408,213.6,196.76,214.57,198.48,213.2,195.74,2,b,2.327,C:\Users\alex2\Desktop\openMV\results\semi_auto_calibration_20260508_202309\frame_01.json,C:\Users\alex2\Desktop\openMV\results\semi_auto_calibration_20260508_202309,
20260508_202309,2,267.678,-36.783,200.111,32.574,195.2,31.85,196.11,32.58,193.91,31.52,5,b,4.964,C:\Users\alex2\Desktop\openMV\results\semi_auto_calibration_20260508_202309\frame_01.json,C:\Users\alex2\Desktop\openMV\results\semi_auto_calibration_20260508_202309,
20260508_202309,3,197.58,-34.198,199.057,153.917,197.02,153.85,197.94,155.31,196.21,153.21,5,b,2.039,C:\Users\alex2\Desktop\openMV\results\semi_auto_calibration_20260508_202309\frame_01.json,C:\Users\alex2\Desktop\openMV\results\semi_auto_calibration_20260508_202309,
20260508_202309,4,242.04,-30.091,184.45,76.211,179.7,77.86,180.56,78.86,179.29,77.34,1,r,5.028,C:\Users\alex2\Desktop\openMV\results\semi_auto_calibration_20260508_202309\frame_01.json,C:\Users\alex2\Desktop\openMV\results\semi_auto_calibration_20260508_202309,
20260508_202309,5,180.775,-14.149,145.912,183.963,147.83,181.63,148.59,183.26,148.03,180.05,6,b,3.02,C:\Users\alex2\Desktop\openMV\results\semi_auto_calibration_20260508_202309\frame_01.json,C:\Users\alex2\Desktop\openMV\results\semi_auto_calibration_20260508_202309,
20260508_202309,6,260.188,-11.337,133.859,45.785,135.91,43.41,136.64,44.21,135.58,43.33,6,b,3.138,C:\Users\alex2\Desktop\openMV\results\semi_auto_calibration_20260508_202309\frame_01.json,C:\Users\alex2\Desktop\openMV\results\semi_auto_calibration_20260508_202309,
20260508_202309,7,211.018,-8.919,130.118,130.206,131.99,129.47,132.71,130.79,131.81,128.79,4,r,2.012,C:\Users\alex2\Desktop\openMV\results\semi_auto_calibration_20260508_202309\frame_01.json,C:\Users\alex2\Desktop\openMV\results\semi_auto_calibration_20260508_202309,
20260508_202309,8,234.431,-4.169,116.353,89.652,116.85,90.97,117.52,92.05,117.0,89.86,2,b,1.409,C:\Users\alex2\Desktop\openMV\results\semi_auto_calibration_20260508_202309\frame_01.json,C:\Users\alex2\Desktop\openMV\results\semi_auto_calibration_20260508_202309,
20260508_202309,9,172.802,14.487,69.038,198.07,,,,,,,,,,C:\Users\alex2\Desktop\openMV\results\semi_auto_calibration_20260508_202309\frame_01.json,C:\Users\alex2\Desktop\openMV\results\semi_auto_calibration_20260508_202309,
20260508_202309,10,196.733,15.134,66.679,155.375,62.38,156.62,62.89,158.1,62.91,155.2,2,b,4.476,C:\Users\alex2\Desktop\openMV\results\semi_auto_calibration_20260508_202309\frame_01.json,C:\Users\alex2\Desktop\openMV\results\semi_auto_calibration_20260508_202309,
